Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_50_%_D_rank,50_200_%_D_rank
BHG,,59.0,29.0,16.0,36.0,38.0,80.0,28.0,,78.0,24.0,83.0
BONAV-A,,24.0,27.0,9.0,37.0,42.0,86.0,9.0,,34.0,65.0,86.0
BONAV-B,,24.0,27.0,9.0,37.0,42.0,86.0,9.0,,21.0,71.0,91.0
BOOZT,85.0,45.0,57.0,29.0,76.0,77.0,51.0,44.0,,73.0,35.0,14.0
BMAX,,54.0,46.0,36.0,57.0,57.0,60.0,36.0,19.0,94.0,52.0,74.0
CLAS-B,85.0,54.0,69.0,42.0,97.0,95.0,14.0,19.0,17.0,86.0,83.0,92.0
G2M,,25.0,12.0,100.0,92.0,93.0,100.0,7.0,,81.0,9.0,9.0
KABE-B,11.0,27.0,57.0,12.0,66.0,68.0,63.0,,21.0,52.0,46.0,25.0
MEKO,42.0,52.0,49.0,52.0,64.0,69.0,72.0,67.0,60.0,47.0,15.0,33.0
MTG-A,,90.0,36.0,81.0,46.0,61.0,66.0,,,35.0,75.0,75.0
MTG-B,,90.0,36.0,81.0,46.0,61.0,65.0,49.0,,49.0,73.0,76.0
NOBI,,32.0,25.0,38.0,25.0,,77.0,13.0,,71.0,93.0,57.0
PRFO,2.0,34.0,81.0,91.0,91.0,93.0,42.0,69.0,93.0,25.0,24.0,8.0
RVRC,35.0,43.0,82.0,70.0,90.0,97.0,29.0,43.0,44.0,75.0,40.0,60.0
RUSTA,,61.0,57.0,48.0,92.0,80.0,18.0,37.0,20.0,62.0,42.0,61.0
SHOT,,46.0,54.0,59.0,95.0,67.0,18.0,43.0,54.0,74.0,73.0,71.0
SKIS-B,45.0,31.0,77.0,84.0,78.0,84.0,38.0,35.0,25.0,47.0,15.0,55.0
SF,,25.0,8.0,53.0,13.0,54.0,88.0,75.0,,69.0,32.0,67.0
SYNSAM,67.0,58.0,62.0,83.0,80.0,83.0,33.0,45.0,57.0,76.0,81.0,78.0
VBG-B,21.0,24.0,73.0,33.0,77.0,85.0,54.0,57.0,45.0,66.0,61.0,25.0
VESTUM,,28.0,36.0,58.0,45.0,51.0,71.0,51.0,,26.0,21.0,55.0
CINT,,38.0,33.0,93.0,44.0,44.0,16.0,5.0,,71.0,87.0,18.0
DUST,,48.0,24.0,13.0,19.0,43.0,90.0,77.0,,3.0,11.0,3.0
DYVOX,86.0,79.0,68.0,77.0,96.0,90.0,4.0,9.0,,77.0,82.0,96.0
ENEA,,53.0,79.0,86.0,62.0,74.0,78.0,47.0,,28.0,64.0,13.0
IAR-B,8.0,50.0,83.0,47.0,86.0,92.0,24.0,22.0,18.0,99.0,96.0,35.0
KNOW,24.0,27.0,45.0,13.0,51.0,50.0,75.0,50.0,24.0,37.0,27.0,41.0
LIME,64.0,59.0,81.0,55.0,94.0,92.0,8.0,12.0,11.0,29.0,40.0,77.0
PRIC-B,,17.0,59.0,23.0,73.0,81.0,80.0,72.0,,26.0,8.0,7.0
PACT,35.0,44.0,58.0,25.0,87.0,72.0,43.0,54.0,35.0,29.0,14.0,33.0
HTRO,73.0,51.0,60.0,46.0,71.0,75.0,65.0,69.0,,3.0,20.0,11.0
NETI-B,,18.0,68.0,67.0,63.0,71.0,46.0,11.0,,46.0,92.0,6.0
VPLAY-A,,28.0,34.0,11.0,31.0,40.0,54.0,,,6.0,91.0,22.0
VPLAY-B,,28.0,34.0,11.0,31.0,40.0,72.0,91.0,,39.0,90.0,39.0
MSON-A,13.0,42.0,44.0,29.0,49.0,51.0,86.0,40.0,23.0,47.0,47.0,61.0
MSON-B,13.0,42.0,44.0,29.0,49.0,51.0,90.0,77.0,35.0,39.0,37.0,60.0
CTEK,9.0,51.0,31.0,62.0,40.0,63.0,55.0,38.0,,49.0,66.0,55.0
MAHA-A,49.0,26.0,40.0,74.0,23.0,34.0,24.0,94.0,,24.0,40.0,10.0
ACRI-A,98.0,52.0,92.0,75.0,60.0,59.0,74.0,,75.0,37.0,57.0,91.0
ACRI-B,98.0,52.0,92.0,75.0,60.0,59.0,75.0,,76.0,50.0,71.0,91.0
ANNE-B,,41.0,79.0,83.0,50.0,57.0,88.0,50.0,,27.0,37.0,45.0
FASTAT,,9.0,7.0,62.0,11.0,39.0,93.0,81.0,,18.0,5.0,34.0
K2A-B,,40.0,15.0,82.0,38.0,52.0,92.0,19.0,,74.0,44.0,12.0
K2A-PREF,,40.0,15.0,82.0,38.0,52.0,15.0,,98.0,54.0,44.0,28.0
HAV-B,,99.0,73.0,100.0,48.0,43.0,57.0,,87.0,24.0,80.0,57.0
MANG,,26.0,40.0,91.0,47.0,42.0,26.0,,15.0,34.0,74.0,33.0
NAXS,100.0,99.0,97.0,100.0,53.0,50.0,81.0,,92.0,84.0,48.0,59.0
QLIRO,,50.0,27.0,6.0,40.0,40.0,72.0,26.0,,49.0,83.0,27.0
SEAF,,31.0,23.0,52.0,28.0,42.0,91.0,29.0,,56.0,76.0,42.0
STWK,,39.0,37.0,67.0,41.0,67.0,83.0,98.0,,23.0,30.0,83.0
SFAB,29.0,30.0,79.0,84.0,93.0,86.0,39.0,,83.0,47.0,43.0,59.0
ACTI,,,40.0,6.0,4.0,3.0,10.0,,,98.0,82.0,85.0
ATORX,,1.0,40.0,0.0,,0.0,98.0,98.0,,2.0,97.0,0.0
ACE,,,40.0,6.0,6.0,8.0,17.0,96.0,,20.0,61.0,94.0
BOUL,,16.0,11.0,53.0,10.0,89.0,46.0,63.0,,92.0,84.0,57.0
CRAD-B,,41.0,66.0,77.0,72.0,94.0,32.0,41.0,,18.0,72.0,68.0
CANTA,,,40.0,6.0,5.0,3.0,27.0,83.0,,7.0,16.0,10.0
CARA,,76.0,25.0,91.0,42.0,37.0,45.0,12.0,,24.0,82.0,88.0
DEDI,26.0,19.0,51.0,14.0,79.0,66.0,58.0,75.0,77.0,48.0,58.0,23.0
EGTX,,49.0,40.0,68.0,12.0,12.0,30.0,13.0,,32.0,93.0,19.0
EPIS-B,,88.0,40.0,1.0,8.0,5.0,89.0,82.0,,2.0,2.0,17.0
EQL,90.0,82.0,78.0,46.0,89.0,87.0,11.0,18.0,,18.0,64.0,80.0
IMMNOV,,25.0,40.0,100.0,2.0,1.0,29.0,80.0,,31.0,91.0,18.0
IBT-B,,,40.0,6.0,15.0,11.0,28.0,,,38.0,6.0,90.0
IRLAB-A,,,9.0,3.0,4.0,14.0,2.0,95.0,,20.0,1.0,6.0
ISOFOL,,,40.0,6.0,17.0,11.0,47.0,92.0,,34.0,2.0,6.0
KDEV,,62.0,40.0,100.0,44.0,38.0,94.0,90.0,,9.0,57.0,39.0
MVIR,,69.0,40.0,6.0,13.0,10.0,49.0,84.0,,97.0,44.0,12.0
IMMU,,8.0,40.0,6.0,30.0,24.0,85.0,92.0,,5.0,96.0,20.0
MOB,,97.0,40.0,72.0,21.0,11.0,85.0,97.0,,41.0,69.0,20.0
NICA,,93.0,0.0,16.0,6.0,12.0,51.0,75.0,,68.0,21.0,8.0
ONCO,,95.0,40.0,96.0,,2.0,100.0,87.0,,100.0,96.0,70.0
ORX,,49.0,15.0,92.0,,23.0,98.0,87.0,,33.0,91.0,77.0
QLINEA,,93.0,40.0,2.0,5.0,3.0,68.0,81.0,,100.0,100.0,100.0
SANION,,88.0,97.0,99.0,100.0,100.0,26.0,,,13.0,86.0,94.0
SEZI,,92.0,3.0,41.0,22.0,19.0,44.0,93.0,,43.0,77.0,31.0
SYNACT,,,40.0,6.0,18.0,14.0,21.0,91.0,,92.0,85.0,94.0
VICO,,0.0,40.0,100.0,21.0,15.0,54.0,86.0,,28.0,14.0,61.0
VIVE,,,40.0,6.0,27.0,22.0,77.0,85.0,,51.0,38.0,38.0
XBRANE,,97.0,12.0,88.0,17.0,27.0,55.0,54.0,,9.0,49.0,89.0
XSPRAY,,,40.0,6.0,20.0,15.0,32.0,95.0,,97.0,97.0,41.0
ARPL,31.0,87.0,63.0,20.0,81.0,87.0,55.0,44.0,49.0,49.0,52.0,61.0
BALCO,,36.0,35.0,13.0,42.0,48.0,78.0,70.0,,63.0,74.0,10.0
BERNER-B,75.0,36.0,58.0,42.0,83.0,79.0,30.0,41.0,22.0,41.0,23.0,95.0
BONG,9.0,34.0,38.0,15.0,43.0,46.0,93.0,68.0,,30.0,41.0,38.0
CNCJO-B,,26.0,30.0,42.0,40.0,39.0,82.0,27.0,,30.0,28.0,52.0
ELTEL,,34.0,39.0,11.0,46.0,67.0,12.0,0.0,,26.0,95.0,91.0
FNM,,46.0,28.0,16.0,29.0,43.0,88.0,68.0,,37.0,62.0,20.0
HAKI-A,,55.0,49.0,37.0,55.0,60.0,70.0,,29.0,26.0,26.0,47.0
HAKI-B,,55.0,49.0,37.0,55.0,60.0,73.0,62.0,33.0,35.0,23.0,39.0
IS,,45.0,52.0,79.0,59.0,54.0,60.0,62.0,,17.0,33.0,44.0
INFREA,,76.0,39.0,34.0,45.0,43.0,78.0,54.0,52.0,27.0,89.0,88.0
INISS-B,1.0,21.0,47.0,50.0,60.0,62.0,64.0,64.0,31.0,11.0,71.0,50.0
KARNEL-B,97.0,74.0,65.0,66.0,66.0,77.0,40.0,,,52.0,73.0,80.0
MEAB-B,,25.0,30.0,51.0,38.0,36.0,69.0,73.0,70.0,63.0,39.0,57.0
NETEL,,46.0,36.0,38.0,59.0,64.0,90.0,75.0,,22.0,68.0,10.0
NGS,,20.0,21.0,7.0,14.0,31.0,79.0,,,22.0,18.0,45.0
PION-B,,18.0,31.0,7.0,21.0,28.0,50.0,,67.0,11.0,26.0,43.0
PENG-B,4.0,26.0,44.0,89.0,50.0,49.0,85.0,58.0,,41.0,97.0,87.0
RAIL,45.0,36.0,59.0,78.0,73.0,72.0,46.0,61.0,43.0,68.0,56.0,51.0
SINT,68.0,21.0,90.0,81.0,94.0,99.0,16.0,34.0,73.0,26.0,58.0,66.0
SVIK,52.0,55.0,44.0,23.0,52.0,59.0,26.0,20.0,16.0,96.0,98.0,79.0
SVED-B,52.0,48.0,69.0,53.0,74.0,84.0,51.0,43.0,44.0,59.0,66.0,84.0
TRANS,,69.0,41.0,62.0,50.0,57.0,63.0,59.0,,81.0,69.0,56.0
WTW-A,,24.0,35.0,81.0,43.0,42.0,84.0,,27.0,12.0,7.0,46.0
WISE,,17.0,32.0,47.0,25.0,34.0,52.0,,,43.0,28.0,48.0
WBGR-B,,79.0,30.0,6.0,26.0,34.0,86.0,76.0,,48.0,85.0,4.0
BEGR,,21.0,37.0,11.0,42.0,35.0,91.0,77.0,,64.0,35.0,28.0
DURC-B,94.0,42.0,42.0,46.0,52.0,46.0,85.0,,26.0,53.0,61.0,39.0
NORB-B,,57.0,43.0,29.0,50.0,48.0,87.0,67.0,,80.0,77.0,24.0
PROF-B,82.0,58.0,59.0,12.0,85.0,87.0,56.0,,48.0,7.0,84.0,92.0
ATIC,,52.0,43.0,72.0,55.0,61.0,31.0,2.0,,91.0,92.0,99.0
BORG,82.0,56.0,71.0,60.0,90.0,85.0,29.0,45.0,72.0,50.0,60.0,68.0
BULTEN,3.0,30.0,45.0,17.0,59.0,63.0,85.0,74.0,68.0,15.0,51.0,36.0
CTM,,10.0,8.0,33.0,24.0,40.0,56.0,79.0,,76.0,33.0,4.0
ELON,,46.0,43.0,14.0,58.0,47.0,83.0,,74.0,37.0,48.0,54.0
EG7,,54.0,24.0,87.0,39.0,35.0,92.0,69.0,56.0,45.0,80.0,43.0
ENRO,94.0,45.0,70.0,31.0,93.0,74.0,62.0,72.0,96.0,91.0,91.0,37.0
G5EN,8.0,23.0,71.0,77.0,85.0,90.0,56.0,65.0,90.0,62.0,35.0,63.0
LAMM-B,,41.0,27.0,37.0,31.0,46.0,81.0,71.0,49.0,32.0,34.0,92.0
MOMENT,,48.0,32.0,62.0,14.0,44.0,25.0,1.0,,32.0,18.0,55.0
NELLY,,60.0,72.0,62.0,97.0,91.0,23.0,37.0,28.0,57.0,60.0,92.0
NIL-B,43.0,52.0,63.0,53.0,85.0,91.0,46.0,60.0,34.0,63.0,72.0,53.0
PIERCE,,61.0,36.0,50.0,42.0,41.0,69.0,50.0,,22.0,26.0,64.0
STAR-A,,69.0,4.0,1.0,19.0,17.0,84.0,,,74.0,4.0,83.0
STAR-B,,69.0,4.0,1.0,19.0,17.0,89.0,88.0,,55.0,12.0,48.0
ANOT,,8.0,40.0,48.0,6.0,12.0,65.0,,,2.0,75.0,7.0
B3,60.0,64.0,67.0,13.0,96.0,64.0,42.0,69.0,78.0,20.0,43.0,27.0
FING-B,,92.0,5.0,11.0,7.0,21.0,89.0,,,9.0,5.0,4.0
FPIP,92.0,60.0,55.0,65.0,56.0,54.0,35.0,23.0,25.0,60.0,51.0,67.0
GARO,,28.0,31.0,46.0,36.0,43.0,52.0,40.0,,68.0,51.0,42.0
MSAB-B,,43.0,75.0,97.0,96.0,95.0,14.0,33.0,45.0,86.0,78.0,63.0
SAFETY-B,,58.0,38.0,43.0,41.0,44.0,31.0,,81.0,90.0,75.0,98.0
NTEK-B,37.0,45.0,82.0,76.0,95.0,94.0,26.0,,29.0,76.0,80.0,87.0
PREC,,29.0,23.0,81.0,37.0,32.0,54.0,95.0,,32.0,9.0,32.0
PREV-B,26.0,51.0,60.0,41.0,75.0,87.0,53.0,62.0,71.0,42.0,42.0,31.0
SGG,,71.0,39.0,40.0,46.0,51.0,75.0,68.0,,61.0,39.0,17.0
SIVE,,85.0,12.0,87.0,34.0,33.0,74.0,93.0,,39.0,25.0,80.0
SLEEP,65.0,45.0,88.0,66.0,99.0,99.0,19.0,41.0,82.0,44.0,28.0,14.0
SOF-B,39.0,45.0,73.0,17.0,91.0,96.0,30.0,,81.0,41.0,47.0,60.0
TOBII,,72.0,28.0,88.0,35.0,40.0,49.0,91.0,,96.0,98.0,97.0
TRAD,96.0,43.0,42.0,21.0,50.0,48.0,73.0,,,69.0,38.0,93.0
DORO,,61.0,71.0,56.0,80.0,82.0,55.0,35.0,79.0,29.0,46.0,72.0
OVZON,,78.0,16.0,26.0,38.0,38.0,34.0,1.0,,70.0,96.0,98.0
LEA,34.0,55.0,90.0,6.0,61.0,46.0,76.0,,98.0,90.0,14.0,
CHEF,89.0,65.0,56.0,23.0,69.0,73.0,61.0,35.0,84.0,4.0,45.0,97.0
VIVA,19.0,39.0,55.0,20.0,69.0,74.0,48.0,40.0,63.0,33.0,33.0,62.0
CLIME-B,,7.0,0.0,2.0,19.0,15.0,88.0,93.0,,81.0,63.0,64.0
HEXI,,99.0,40.0,1.0,,27.0,96.0,79.0,,43.0,3.0,79.0
MIDS,,12.0,40.0,5.0,10.0,20.0,34.0,87.0,,91.0,49.0,60.0
AGROUP,,24.0,17.0,6.0,43.0,41.0,92.0,74.0,,45.0,13.0,31.0
FNOVA-B,38.0,49.0,91.0,69.0,58.0,57.0,85.0,,,38.0,36.0,55.0
STUDBO,,57.0,94.0,70.0,69.0,57.0,91.0,73.0,,43.0,73.0,48.0
NAVIGO-STAM,,45.0,15.0,71.0,32.0,26.0,95.0,,,47.0,64.0,30.0
NAVIGO-PREF,,45.0,15.0,71.0,32.0,26.0,16.0,,95.0,63.0,74.0,71.0
VER,6.0,75.0,62.0,57.0,64.0,74.0,8.0,6.0,,96.0,8.0,38.0
ACARIX,,59.0,40.0,93.0,10.0,6.0,16.0,0.0,,94.0,98.0,54.0
ADDV-A,18.0,45.0,58.0,63.0,67.0,79.0,81.0,74.0,,4.0,22.0,3.0
ADDV-B,18.0,45.0,58.0,63.0,67.0,79.0,92.0,72.0,,3.0,49.0,6.0
ALZCUR,,,40.0,6.0,3.0,2.0,7.0,94.0,,95.0,56.0,96.0
BIOVIC-B,,73.0,40.0,96.0,7.0,4.0,53.0,82.0,,22.0,53.0,4.0
DVYSR,,54.0,17.0,88.0,29.0,27.0,19.0,2.0,,50.0,90.0,41.0
IMP-A-SDB,,73.0,40.0,2.0,28.0,23.0,0.0,92.0,,99.0,95.0,70.0
KAN,,,40.0,6.0,15.0,10.0,32.0,78.0,,4.0,95.0,58.0
NANOFS,,83.0,40.0,91.0,22.0,17.0,6.0,,,45.0,89.0,15.0
PTRK,,36.0,14.0,24.0,25.0,39.0,11.0,70.0,,88.0,63.0,84.0
SPEC,,,40.0,6.0,29.0,23.0,94.0,,,95.0,1.0,1.0
SPRINT,,18.0,16.0,66.0,6.0,11.0,13.0,79.0,,41.0,63.0,3.0
BYGGP,74.0,45.0,45.0,8.0,76.0,68.0,51.0,73.0,34.0,39.0,37.0,90.0
KBC,64.0,69.0,55.0,61.0,,,25.0,56.0,50.0,31.0,28.0,
NYAB,,90.0,59.0,23.0,67.0,79.0,6.0,39.0,28.0,28.0,28.0,68.0
QBEN,,,40.0,6.0,,,,53.0,,40.0,19.0,
QAIR,9.0,37.0,36.0,72.0,42.0,45.0,58.0,72.0,64.0,55.0,93.0,43.0
QSYS,22.0,69.0,82.0,80.0,,,25.0,,65.0,42.0,67.0,
SALT-B,,1.0,2.0,2.0,16.0,16.0,11.0,,,91.0,95.0,78.0
TAGM-B,,42.0,40.0,75.0,47.0,41.0,76.0,3.0,,28.0,86.0,55.0
TSEC,,62.0,26.0,9.0,10.0,22.0,27.0,63.0,,92.0,74.0,27.0
NEXAM,,29.0,29.0,54.0,39.0,36.0,55.0,12.0,,8.0,81.0,52.0
AGES-B,4.0,26.0,25.0,10.0,20.0,55.0,60.0,,41.0,63.0,38.0,32.0
DRIL,,32.0,55.0,91.0,68.0,73.0,64.0,,75.0,65.0,41.0,41.0
GRANGX,,76.0,40.0,73.0,4.0,26.0,2.0,,,47.0,36.0,68.0
ACROUD,,46.0,19.0,93.0,18.0,39.0,14.0,79.0,,95.0,7.0,5.0
BOKUS,,56.0,48.0,25.0,62.0,66.0,57.0,52.0,84.0,85.0,82.0,76.0
EMBELL,76.0,31.0,71.0,68.0,78.0,86.0,56.0,55.0,60.0,57.0,37.0,71.0
LYKO-A,90.0,63.0,43.0,51.0,57.0,65.0,26.0,13.0,,75.0,83.0,76.0
MAGI,,25.0,41.0,72.0,47.0,41.0,65.0,31.0,91.0,91.0,98.0,80.0
PDX,47.0,34.0,89.0,65.0,88.0,97.0,20.0,18.0,21.0,9.0,27.0,56.0
RAKE,,8.0,7.0,45.0,12.0,48.0,37.0,78.0,,40.0,38.0,8.0
RUG,71.0,60.0,70.0,57.0,71.0,81.0,46.0,31.0,29.0,53.0,66.0,91.0
THUNDR,,22.0,3.0,89.0,14.0,11.0,96.0,79.0,,13.0,12.0,15.0
ZZ-B,79.0,87.0,69.0,24.0,98.0,96.0,5.0,11.0,21.0,93.0,95.0,97.0
4C,,69.0,39.0,44.0,46.0,60.0,44.0,,,80.0,62.0,75.0
ACAST,,77.0,38.0,41.0,44.0,37.0,41.0,99.0,,80.0,59.0,54.0
ADVE,,90.0,74.0,66.0,86.0,85.0,12.0,1.0,2.0,15.0,88.0,98.0
AVEN,91.0,64.0,61.0,22.0,99.0,94.0,14.0,48.0,66.0,61.0,48.0,93.0
BRIGHT,,12.0,10.0,8.0,15.0,16.0,94.0,82.0,,4.0,0.0,3.0
CAG,41.0,39.0,61.0,18.0,81.0,88.0,43.0,47.0,62.0,59.0,43.0,64.0
CX,44.0,52.0,61.0,18.0,75.0,78.0,52.0,52.0,55.0,75.0,75.0,85.0
DEVP-B,9.0,20.0,58.0,10.0,81.0,79.0,60.0,,90.0,30.0,24.0,21.0
DIST,,15.0,35.0,21.0,32.0,32.0,95.0,84.0,,93.0,6.0,1.0
FRACTL,32.0,66.0,62.0,44.0,72.0,80.0,36.0,21.0,49.0,81.0,89.0,79.0
FREJA,,73.0,17.0,98.0,1.0,20.0,99.0,95.0,,65.0,74.0,67.0
GIG-SDB,,57.0,13.0,63.0,,,6.0,100.0,,33.0,90.0,
MNTC,,69.0,28.0,94.0,31.0,35.0,35.0,28.0,,8.0,7.0,11.0
ONEF,,72.0,14.0,12.0,14.0,17.0,22.0,94.0,,69.0,18.0,21.0
PRCO-B,2.0,29.0,50.0,24.0,51.0,51.0,61.0,,32.0,74.0,69.0,46.0
TERRNT-B,,88.0,40.0,0.0,5.0,7.0,20.0,,,4.0,85.0,10.0
AAC,,43.0,34.0,76.0,44.0,39.0,64.0,15.0,,38.0,97.0,99.0
GOMX,,89.0,16.0,29.0,7.0,23.0,1.0,96.0,,20.0,99.0,99.0
AGTIRA-B,,94.0,7.0,23.0,17.0,18.0,40.0,,,70.0,87.0,96.0
ARCTIC,,63.0,40.0,31.0,,4.0,97.0,,,87.0,4.0,97.0
DUG,,98.0,40.0,17.0,20.0,19.0,31.0,,,67.0,11.0,100.0
HAYPP,87.0,50.0,46.0,11.0,71.0,77.0,17.0,15.0,,96.0,93.0,95.0
HERNO-B,,,40.0,6.0,,,,,,84.0,92.0,68.0
HIGHCO-B,,,40.0,6.0,,,,,,17.0,73.0,83.0
INT,88.0,95.0,91.0,88.0,97.0,99.0,13.0,55.0,,98.0,95.0,99.0
NNH,,58.0,39.0,72.0,44.0,46.0,62.0,,,88.0,15.0,91.0
NICO,,86.0,40.0,28.0,19.0,19.0,34.0,,,97.0,20.0,19.0
SNX,79.0,65.0,49.0,45.0,84.0,85.0,23.0,,6.0,91.0,24.0,93.0
SIMRIS-B,,4.0,40.0,40.0,1.0,22.0,100.0,,,2.0,98.0,93.0
SKMO,15.0,26.0,62.0,17.0,67.0,75.0,25.0,,32.0,68.0,59.0,90.0
SECARE,33.0,54.0,55.0,66.0,49.0,48.0,71.0,18.0,4.0,73.0,81.0,45.0
AEC,,,40.0,6.0,9.0,39.0,11.0,,,39.0,8.0,61.0
CIRCLE-B,,,40.0,6.0,,,,,,95.0,89.0,99.0
META,,98.0,4.0,4.0,10.0,7.0,37.0,89.0,,12.0,94.0,83.0
MINEST,,29.0,6.0,55.0,39.0,32.0,62.0,58.0,,2.0,99.0,82.0
STW,,4.0,40.0,100.0,33.0,26.0,50.0,,,35.0,98.0,100.0
SNM,,87.0,97.0,84.0,97.0,76.0,6.0,10.0,,13.0,90.0,90.0
SOLT,,27.0,24.0,37.0,23.0,32.0,92.0,76.0,,14.0,8.0,36.0
ALM,,64.0,19.0,8.0,22.0,47.0,85.0,91.0,,75.0,46.0,7.0
ALM-PREF,,64.0,19.0,8.0,22.0,47.0,87.0,,97.0,50.0,65.0,59.0
ATIN,,3.0,14.0,47.0,36.0,32.0,83.0,,,70.0,7.0,33.0
BOHO,,12.0,19.0,15.0,29.0,47.0,41.0,,,58.0,30.0,22.0
BOHO-PREF,,12.0,19.0,15.0,29.0,47.0,34.0,,,60.0,76.0,29.0
BONAS,,48.0,55.0,76.0,48.0,55.0,81.0,,,22.0,13.0,34.0
DOXA,,9.0,40.0,94.0,16.0,26.0,94.0,,,67.0,20.0,10.0
HEIM-PREF,,42.0,90.0,73.0,69.0,53.0,95.0,,98.0,54.0,77.0,57.0
KAPIAB,,52.0,98.0,96.0,79.0,73.0,62.0,,81.0,58.0,65.0,73.0
LINKAB,5.0,29.0,70.0,71.0,53.0,57.0,53.0,,77.0,58.0,39.0,51.0
SOLNA,,52.0,92.0,84.0,59.0,61.0,79.0,,85.0,55.0,56.0,68.0
TINGS-A,61.0,74.0,91.0,87.0,60.0,65.0,86.0,,,31.0,42.0,51.0
TINGS-B,61.0,74.0,91.0,87.0,60.0,65.0,88.0,,,8.0,53.0,52.0
TINGS-PREF,61.0,74.0,91.0,87.0,60.0,65.0,19.0,,86.0,59.0,80.0,75.0
TITA-B,99.0,57.0,100.0,100.0,98.0,53.0,89.0,77.0,,61.0,59.0,78.0
ALPCOT-B,,90.0,46.0,67.0,52.0,44.0,49.0,,,21.0,89.0,93.0
BMC,33.0,75.0,85.0,58.0,,,4.0,,,35.0,94.0,
CASE,,83.0,82.0,56.0,68.0,83.0,48.0,,,79.0,84.0,65.0
FIRST-B,,,40.0,6.0,38.0,34.0,91.0,,,79.0,78.0,40.0
FLAT-B,,,98.0,100.0,89.0,96.0,50.0,,,93.0,15.0,86.0
MTI,,10.0,40.0,89.0,8.0,21.0,4.0,,,86.0,86.0,66.0
NAIG-B,,,40.0,6.0,35.0,30.0,87.0,,94.0,11.0,11.0,40.0
NFGAB,,50.0,27.0,60.0,11.0,31.0,60.0,,,26.0,20.0,29.0
SFL,,42.0,40.0,7.0,42.0,35.0,32.0,,,64.0,63.0,71.0
YIELD,,23.0,25.0,57.0,31.0,,65.0,89.0,,47.0,34.0,29.0
VH,,3.0,27.0,100.0,37.0,30.0,25.0,,53.0,20.0,78.0,47.0
WRV,,,40.0,6.0,11.0,6.0,91.0,,,5.0,54.0,19.0
2CUREX,,5.0,40.0,6.0,5.0,1.0,5.0,,,20.0,95.0,100.0
ACOU,,24.0,5.0,99.0,7.0,6.0,13.0,87.0,,82.0,17.0,2.0
AINO,,72.0,18.0,20.0,,8.0,99.0,,,30.0,47.0,85.0
ALZ,,93.0,8.0,100.0,30.0,24.0,63.0,85.0,,69.0,14.0,7.0
ANNX,,,40.0,6.0,4.0,2.0,26.0,,,68.0,9.0,14.0
ARCOMA,20.0,15.0,66.0,45.0,84.0,89.0,49.0,64.0,,40.0,54.0,25.0
BIOSGN,,,40.0,6.0,17.0,11.0,40.0,94.0,,16.0,24.0,53.0
BRAIN,,70.0,9.0,28.0,23.0,19.0,39.0,0.0,,23.0,23.0,52.0
CRNO-B,,16.0,5.0,100.0,15.0,21.0,8.0,96.0,,18.0,21.0,97.0
CMH,,33.0,40.0,82.0,8.0,5.0,76.0,,,7.0,11.0,5.0
CMH-PREF,,33.0,40.0,82.0,8.0,5.0,90.0,,,99.0,4.0,
CLS-B,,82.0,1.0,78.0,11.0,8.0,67.0,88.0,,71.0,83.0,15.0
CLBIO,,6.0,4.0,83.0,25.0,25.0,29.0,41.0,,94.0,93.0,84.0
DMYD-B,,,40.0,6.0,13.0,10.0,29.0,34.0,,18.0,53.0,12.0
DICOT,,,40.0,6.0,8.0,4.0,11.0,,,95.0,68.0,98.0
ELIC,,1.0,40.0,100.0,16.0,13.0,16.0,10.0,,6.0,51.0,99.0
ELN,,36.0,30.0,64.0,27.0,27.0,49.0,,,98.0,44.0,13.0
ERMA,,,40.0,4.0,1.0,2.0,8.0,,,36.0,16.0,21.0
ENZY,,77.0,7.0,74.0,20.0,18.0,25.0,90.0,,88.0,17.0,90.0
EXPRS2,,91.0,40.0,49.0,14.0,6.0,58.0,83.0,,89.0,92.0,26.0
FLUI,,98.0,6.0,83.0,15.0,11.0,83.0,,,11.0,3.0,7.0
FLUO,,80.0,40.0,100.0,2.0,3.0,3.0,88.0,,25.0,36.0,55.0
GABA,,,40.0,6.0,,3.0,5.0,,,33.0,35.0,1.0
GENO,7.0,19.0,86.0,93.0,74.0,75.0,15.0,8.0,,59.0,81.0,69.0
GUARD,,,40.0,6.0,4.0,1.0,29.0,85.0,,87.0,78.0,19.0
ICO,,17.0,3.0,86.0,23.0,19.0,92.0,84.0,,66.0,94.0,3.0
IDLDX,,69.0,10.0,19.0,24.0,18.0,69.0,,,54.0,,
INIT,,,40.0,6.0,14.0,7.0,8.0,88.0,,6.0,5.0,9.0
INTEG-B,,42.0,17.0,85.0,30.0,21.0,44.0,20.0,,27.0,79.0,42.0
IVACC,,92.0,40.0,5.0,26.0,21.0,71.0,82.0,,78.0,10.0,8.0
IZAFE-B,,5.0,40.0,5.0,8.0,8.0,15.0,,,94.0,84.0,76.0
KLAR,,100.0,40.0,100.0,3.0,17.0,2.0,0.0,,98.0,1.0,13.0
KONT,,24.0,41.0,100.0,47.0,42.0,59.0,27.0,,48.0,27.0,24.0
LIDDS,,,40.0,6.0,8.0,6.0,31.0,80.0,,47.0,100.0,5.0
