,Total_Revenue_AvgGrowth,Total_Revenue_year_2021,Total_Revenue_year_2022,Total_Revenue_year_2023,Total_Revenue_year_2024,Basic_EPS_AvgGrowth,Basic_EPS_year_2021,Basic_EPS_year_2022,Basic_EPS_year_2023,Basic_EPS_year_2024,Total_Revenue_year_2025,Basic_EPS_year_2025,Total_Revenue_year_2020,Basic_EPS_year_2020,Total_Revenue_AvgGrowth_Rank,Basic_EPS_AvgGrowth_Rank
HUMBLE,0.930743793928518,1486000000.0,4800000000.0,7050000000.0,7708000000.0,0.5773729194781826,-1.14,-0.13,-0.28,0.28,,,,,91.86746987951807,83.40548340548341
SCST,0.09146719361455956,10101000000.0,12119000000.0,13014000000.0,13024000000.0,0.43968375852183755,1.6,2.02,4.11,4.2,,,,,38.704819277108435,79.50937950937951
EOLU-B,-0.2507349210016466,2614000000.0,2356000000.0,2301000000.0,851000000.0,35.17286401025532,-0.74,-0.22,23.0,6.22,,,,,4.66867469879518,99.85569985569985
MER,,0.0,0.0,0.0,0.0,-1.0422064777327937,0.4,-0.13,0.19,-0.62,,,,,50.0,13.997113997113997
ORRON,0.4814502959787712,0.0,13800000.0,28400000.0,25700000.0,8.87574932863442,1.536803,45.02,-0.03,-0.05,,,,,83.73493975903614,98.84559884559884
BESQAB,11.941637086844223,104892000.0,41138000.0,1487700000.0,3375700000.0,0.010642409495240387,1.265419,-1.59,3.43,0.45,,,,,99.0210843373494,46.17604617604618
BESQAB-PREF-B,11.941637086844223,104892000.0,41138000.0,1487700000.0,3375700000.0,,,,,,,,,,99.0210843373494,50.0
BRIN-B,0.11055941010639665,399000000.0,463800000.0,513400000.0,545400000.0,-0.44733044733044736,4.4,3.0,-3.5,0.5,,,,,42.31927710843373,22.7994227994228
CIBUS,0.15626110543626603,93754000.0,124019000.0,140005000.0,142395000.0,-0.07055695954549908,1.25,1.66,-0.41,-0.12,,,,,55.42168674698795,39.82683982683983
DIOS,0.0893507467991461,1963000000.0,2208000000.0,2504000000.0,2527000000.0,-0.28939774563757154,17.08,5.87,-6.01,4.88,,,,,37.8012048192771,27.84992784992785
EAST,0.03823036838002795,79964000.0,117594000.0,-70258000.0,16972000.0,-0.02691469666448243,0.8175,1.2225,-0.81,0.07,,,,,24.397590361445783,42.56854256854257
EMIL-B,0.24638178043013814,350300000.0,454000000.0,588000000.0,675000000.0,8.260894299005225,7.056818,3.36,-0.09,2.28,,,,,71.0090361445783,98.4126984126984
EMIL-PREF,0.24638178043013814,350300000.0,454000000.0,588000000.0,675000000.0,,,,,,,,,,71.0090361445783,50.0
GPG,0.1725838075238628,319900000.0,394700000.0,503000000.0,507800000.0,-0.8894466952649335,15.150459,3.98,-11.73,11.92,,,,,60.24096385542169,16.161616161616163
HEBA-B,0.07882898402653622,449637000.0,509903000.0,565655000.0,561761000.0,-1.402903910678462,8.93,-0.82,-4.31,0.6,,,,,34.33734939759036,11.3997113997114
INTEA-B,,,,,,,,,,,,,,,50.0,50.0
INTEA-D,,,,,,,,,,,,,,,50.0,50.0
JOMA,0.1860967799321568,407900000.0,621000000.0,610300000.0,642700000.0,-3.4439457405324334,29.70105,3.3,-31.75,5.66,,,,,64.45783132530121,5.05050505050505
KFAST-B,-0.015084339382222351,1252700000.0,1406000000.0,1094800000.0,1153600000.0,-0.17366302103577755,4.85,4.13,-1.96,0.2,,,,,14.60843373493976,33.62193362193362
KLARA-B,0.23419682246696463,337600000.0,491400000.0,577200000.0,619000000.0,-1.179728053358013,7.520559,0.921875,-2.91,1.44,,,,,69.57831325301204,12.698412698412698
LOGI-A,1.0433789849984596,93000000.0,257000000.0,357000000.0,706000000.0,6.331790897697243,3.091213,2.52,-0.05,0.96,,,,,92.54518072289156,97.47474747474747
LOGI-B,1.0433789849984596,93000000.0,257000000.0,357000000.0,706000000.0,6.331790897697243,3.091213,2.52,-0.05,0.96,,,,,92.54518072289156,97.47474747474747
NEOBO,0.09661970021668166,694000000.0,839000000.0,888000000.0,908000000.0,-0.18435994952195112,23.34,-9.32,-9.44,-1.33,,,,,39.006024096385545,33.04473304473304
NIVI-B,0.29194887008591924,327433000.0,528081000.0,611912000.0,675740000.0,0.03643682378194487,10.113688,11.68,-4.39,1.45,,,,,75.45180722891565,48.917748917748916
PLAZ-B,0.1183073623410088,1201000000.0,1229000000.0,1453000000.0,1670000000.0,0.27947614773848134,14.24,25.26,-7.87,2.96,,,,,43.825301204819276,70.12987012987013
PRISMA,0.9728492798600187,70900000.0,206900000.0,390000000.0,435000000.0,0.25631807497053555,0.791994,1.565145,-0.808405,0.25,,,,,92.16867469879519,68.97546897546898
SBB-B,-0.14399344334625686,5930000000.0,5365000000.0,4581000000.0,3708000000.0,-0.6392782226416442,17.17,-7.23,-16.0,-4.54,,,,,7.454819277108434,19.841269841269842
SBB-D,-0.14399344334625686,5930000000.0,5365000000.0,4581000000.0,3708000000.0,-0.6392782226416442,17.17,-7.23,-16.0,-4.54,,,,,7.454819277108434,19.841269841269842
STEF-B,0.11418927862652266,653000000.0,733000000.0,843000000.0,902000000.0,-0.43924583597564304,40.67,7.42,-10.54,9.7,,,,,43.373493975903614,23.232323232323232
SFAST,0.6449703382953321,283643000.0,712402000.0,1018985000.0,1011796000.0,-0.7783088788634206,4.19,0.68,-1.11,0.15,,,,,88.40361445783132,17.316017316017316
SVEAF,,,,,,,,,,,,,,,50.0,50.0
SLP-B,0.39020498915367635,268000000.0,411000000.0,585000000.0,710000000.0,-0.06514319320446053,4.246517,2.41,1.56,2.48,,,,,80.57228915662651,40.115440115440116
TRIAN-B,0.0841932144868589,618100000.0,778900000.0,754100000.0,772400000.0,-0.6982876137913943,8.41,0.84,-1.59,1.11,,,,,36.44578313253012,18.326118326118326
CAT-A,0.10895242078449614,1734000000.0,2509000000.0,2315000000.0,2216000000.0,1.0635607688907183,1.97,5.55,-0.24,0.34,,,,,41.79216867469879,88.52813852813853
CAT-B,0.10895242078449614,1734000000.0,2509000000.0,2315000000.0,2216000000.0,1.0635607688907183,1.97,5.55,-0.24,0.34,,,,,41.79216867469879,88.52813852813853
CS,0.15003351551907027,108989679.326261,62127630.066198,54883146.282118,109583794.466403,0.5036407159025874,-48.910843,9.233823,0.878992,1.957463,,,,,54.21686746987952,81.0966810966811
CRED-A,0.18593308753496993,4466000000.0,-4199000000.0,538000000.0,1275000000.0,0.12833872309872704,31.97,-29.08,4.11,8.85,,,,,64.30722891566265,57.57575757575758
FLERIE,,0.0,0.0,0.0,100000.0,0.40422723475355055,-21.0,-19.0,-11.34,-3.24,,,,,50.0,78.35497835497836
HOFI,0.25600503880108927,1972000000.0,2560000000.0,3175000000.0,3904000000.0,1.63103584697268,-2.32,7.91,5.72,10.07,,,,,72.59036144578313,91.05339105339105
INTRUM,0.006475670641286926,17789000000.0,19131000000.0,17705000000.0,18033000000.0,-6.7115730577244355,25.88,-37.07,-1.56,-30.67,,,,,17.16867469879518,3.1746031746031744
LINC,-0.2958610151380086,4138000.0,2371000.0,3650000.0,0.0,-5.624843198338525,-0.6,-12.5,10.7,22.5,,,,,4.066265060240964,3.463203463203463
RATO-A,0.1354490778687891,22550000000.0,29875000000.0,33747000000.0,32124000000.0,-0.1274305706374502,8.17,1.69,3.73,0.76,,,,,50.67771084337349,36.43578643578644
RATO-B,0.1354490778687891,22550000000.0,29875000000.0,33747000000.0,32124000000.0,-0.1274305706374502,8.17,1.69,3.73,0.76,,,,,50.67771084337349,36.43578643578644
RESURS,0.051339480874337005,3069146000.0,3200523000.0,3488935000.0,3562547000.0,-0.5422902328657977,7.5,3.89,1.14,0.64,,,,,27.259036144578314,20.346320346320347
SVOL-A,0.7867672468220182,,-1161486000.0,-493479000.0,876100000.0,0.7527490814556242,,-11.6,-5.1,8.6,8600000.0,0.1,,,89.98493975903614,86.65223665223665
SVOL-B,0.7867672468220182,,-1161486000.0,-493479000.0,876100000.0,0.7527490814556242,,-11.6,-5.1,8.6,8600000.0,0.1,,,89.98493975903614,86.65223665223665
TRAC-B,0.41408707187847066,1353700000.0,-362100000.0,284400000.0,490400000.0,0.4005638220173131,90.85,-25.54,18.24,32.26,,,,,81.47590361445783,77.77777777777779
VEFAB,1.320532844538023,-33640000.0,431000.0,2190000.0,-290000.0,-1.1777777777777778,0.3,-0.36,0.06,-0.09,,,,,94.12650602409639,12.842712842712842
VNV,-4.3506711346373805,77738000.0,-771717000.0,35824000.0,-77784000.0,-5.272628547398669,0.605346,-6.8,0.18,-0.65,,,,,0.15060240963855423,3.6075036075036073
ORES,-0.15596768315627074,1269144000.0,-1672994000.0,247936000.0,422013000.0,-0.15368449162675493,27.78,-36.88,5.42,9.32,,,,,6.626506024096386,35.4978354978355
AMBEA,0.07357132830041364,11478000000.0,12635000000.0,13312000000.0,14195000000.0,0.42507780963647046,2.51,3.89,5.07,7.21,,,,,32.22891566265061,79.22077922077922
ARJO-B,0.07631548669430264,9070000000.0,9979000000.0,10980000000.0,11292000000.0,-0.09564765300059419,2.72,1.65,1.76,1.83,,,,,33.433734939759034,37.8066378066378
ATT,0.13902455802044647,12867000000.0,14496000000.0,17287000000.0,18980000000.0,2.5829654608624564,0.35,-0.28,2.33,2.86,,,,,51.204819277108435,94.22799422799423
BACTI-B,0.1440020264883808,169486000.0,226721000.0,203990000.0,243680000.0,-0.2432978123207817,-1.68,-1.51,-3.95,-0.85,,,,,53.162650602409634,30.303030303030305
BICO,0.20094970707260548,1257300000.0,2120800000.0,2010400000.0,1946300000.0,-0.5162162705066708,-3.97,-12.94,-16.62,-0.08,,,,,66.26506024096386,21.06782106782107
BIOG-B,0.2259605530429174,785111000.0,1103958000.0,1296505000.0,1422719000.0,0.2823069466915227,1.94,3.7,3.62,3.48,,,,,69.12650602409639,70.27417027417027
BINV,4.889645121222082,19384000.0,326126000.0,71461000.0,44686000.0,-1.9034667922419237,-5.14,-0.69,-5.02,-6.53,,,,,98.3433734939759,9.235209235209235
CEVI,0.08587959095337683,565552000.0,639340000.0,677292000.0,723217000.0,0.04205147898696288,5.25,4.96,5.46,5.9,,,,,37.04819277108434,49.35064935064935
CINPHA,-0.3338513122551607,0.0,10571000.0,5959000.0,4580000.0,-0.6807753570572532,-1.763341,-5.758823,-4.973729,-4.54,,,,,3.463855421686747,19.336219336219337
HNSA,1.2355276603394356,33878000.0,154525000.0,134094000.0,171316000.0,-0.026240413779105787,-12.33,-13.6,-15.83,-12.85,,,,,93.82530120481928,42.712842712842715
HUM,0.07992219636719718,8186000000.0,9203000000.0,9642000000.0,10296000000.0,-0.20217097945459286,5.67,4.37,3.72,2.87,,,,,34.63855421686747,32.467532467532465
MCAP,0.259807869322956,916300000.0,1111400000.0,1587400000.0,1806800000.0,0.2968785324961667,6.5,7.9,11.6,14.0,,,,,72.89156626506023,72.58297258297259
RAY-B,0.23084825041197266,641673000.0,843648000.0,1022159000.0,1192029000.0,1.8150245605488573,-1.38,0.69,2.38,5.94,,,,,69.42771084337349,91.77489177489177
SEDANA,0.06202238188119636,159152000.0,122865000.0,153867000.0,178754000.0,0.2707691562530272,-0.62,-0.74,-0.6,-0.11,,,,,28.76506024096386,69.55266955266956
XVIVO,0.47414404728310094,258386000.0,415292000.0,597542000.0,822415000.0,1.9825525250554143,0.28,0.62,3.07,5.47,,,,,83.58433734939759,92.4963924963925
ALIG,0.26116630168879246,3728000000.0,4512000000.0,7097000000.0,7099000000.0,0.12013644745590407,4.240548,5.26,5.25,5.89,,,,,73.19277108433735,56.132756132756136
AQ,0.17150418627356753,5471000000.0,7053000000.0,8968000000.0,8554000000.0,0.23816906239016736,3.998,4.486,6.91,7.27,,,,,59.78915662650602,68.1096681096681
BERG-B,0.027884828445488407,,4574000000.0,4747000000.0,4717000000.0,-0.440982674426383,,7.55,7.8,7.15,4963000000.0,-1.95,,,22.289156626506024,23.08802308802309
BTS-B,0.141581317839425,1916762000.0,2529634000.0,2682892000.0,2802054000.0,0.26748662710359483,11.11,10.24,11.08,19.93,,,,,52.56024096385542,69.40836940836941
BUFAB,0.1298521708678978,5878000000.0,8431000000.0,8680000000.0,8035000000.0,0.06211408330162447,2.514,3.246,3.029993,2.914,,,,,47.89156626506024,50.93795093795094
AJA-B,-0.2903685554818002,876342000.0,1012704000.0,985641000.0,14000.0,-0.2552032698154951,86.18,45.03,-68.027489,83.17,,,,,4.216867469879518,29.725829725829726
CCC,0.15575297513393638,115794000.0,147849000.0,180734000.0,174952000.0,6.205627142175364,-0.394,-0.156,0.002,0.036,,,,,55.27108433734939,97.25829725829726
COOR,0.0739732048988923,10104000000.0,11789000000.0,12443000000.0,12439000000.0,-0.2034646537512537,2.78,2.7,1.64,1.33,,,,,32.53012048192771,32.17893217893218
CTT,0.2818678583492754,151300000.0,240600000.0,308900000.0,300100000.0,1.3389609129211661,1.13,5.29,7.62,6.82,,,,,74.09638554216868,90.33189033189034
ELAN-B,0.07406849320473073,11733100000.0,14974500000.0,13867000000.0,14143000000.0,-0.10124008092652896,9.12,13.29,7.02,4.99,,,,,32.68072289156627,37.66233766233766
EPEN,0.12986129298663945,1618797000.0,2128386000.0,2470647000.0,2258125000.0,1.0806697897268618,1.24,5.07,6.93,5.45,,,,,48.04216867469879,88.74458874458875
EWRK,0.06846322369972228,13188655000.0,16069954000.0,17209323000.0,15764103000.0,0.1396375298967051,5.68,8.07,7.46,8.01,,,,,30.72289156626506,58.87445887445888
FAG,0.05738384274898418,7087500000.0,8269600000.0,8560400000.0,8305300000.0,-0.05530802367668854,2.64,3.27,3.09,2.01,,,,,27.710843373493976,40.692640692640694
FG,0.26234441668987024,2676300000.0,4547700000.0,5109700000.0,4926800000.0,-0.27827144026802064,4.11,5.62,4.42,0.05,,,,,73.3433734939759,28.42712842712843
FMM-B,0.010778965079485066,1824824000.0,1925600000.0,1938607000.0,1881141000.0,-0.24427201319742667,5.62,4.57,3.48,2.41,,,,,18.072289156626507,30.014430014430015
GREEN,0.2779837588566177,3139000000.0,4810000000.0,5831000000.0,6352000000.0,0.2953964105086125,1.84,3.41,3.85,3.48,,,,,73.64457831325302,72.43867243867244
HANZA,0.24979831672867905,2515000000.0,3549000000.0,4143000000.0,4851000000.0,0.18601571787082294,2.26,3.35,5.36,2.55,,,,,71.6867469879518,63.78066378066378
INSTAL,0.16645690933724408,8890000000.0,12063000000.0,14279000000.0,13690000000.0,-0.10985826059666881,2.1,1.99,2.29,1.31,,,,,58.13253012048193,37.085137085137085
IVSO,0.45452404055182355,593000000.0,775500000.0,1238500000.0,1806700000.0,1.889388342073764,0.33,0.99,3.91,6.72,,,,,82.98192771084338,92.06349206349206
INWI,0.05358546621240936,7724900000.0,9546800000.0,8970400000.0,8838400000.0,-0.07879059877872656,12.29,13.74,11.72,9.29,,,,,27.40963855421687,39.24963924963925
ITAB,0.031604019061434674,6087000000.0,6868000000.0,6139000000.0,6585000000.0,0.42088227185001376,0.5,0.78,1.24,1.38,,,,,23.19277108433735,78.78787878787878
KAR,0.5127353499222536,878072000.0,1113500000.0,2474600000.0,2592700000.0,-0.8664205875505621,0.87,0.555418,0.354158,-0.31,,,,,85.09036144578313,16.450216450216452
MILDEF,0.39155780396535195,469600000.0,738800000.0,1151300000.0,1200900000.0,4.360189973971539,-0.03,0.38,1.73,-5.43,,,,,80.72289156626506,96.3924963924964
MMGR-B,0.24599933681627892,1491000000.0,1739000000.0,2298000000.0,2873000000.0,0.1654141355431912,2.297899,2.7,3.45,3.6,,,,,70.63253012048193,61.18326118326118
NMAN,0.14320590676436462,4041800000.0,5178900000.0,6187800000.0,5899900000.0,0.041885302290658656,8.7,9.37,9.71,9.83,,,,,53.01204819277109,49.06204906204906
PCELL,0.29234685225844537,159757000.0,244691000.0,310287000.0,334278000.0,-0.04506216846192304,-1.5,-1.09,-1.57,-1.52,,,,,75.75301204819277,41.41414141414141
REJL-B,0.15314564793323404,2898700000.0,3513000000.0,4088300000.0,4430700000.0,0.26241044006858877,5.6,9.64,8.39,10.03,,,,,54.668674698795186,69.11976911976912
SDIP-B,0.24128460913870106,2718900000.0,3505200000.0,4582000000.0,5166000000.0,0.1708395937280075,6.62,11.53,11.33,8.93,,,,,70.4066265060241,61.832611832611825
SDIP-PREF,0.24128460913870106,2718900000.0,3505200000.0,4582000000.0,5166000000.0,0.1708395937280075,6.62,11.53,11.33,8.93,,,,,70.4066265060241,61.832611832611825
VOLO,0.08111567909226232,6309000000.0,7751000000.0,7796000000.0,7866000000.0,-0.21243635541525804,5.42,4.44,3.68,2.63,,,,,35.16566265060241,31.24098124098124
VOLO-PREF,0.08111567909226232,6309000000.0,7751000000.0,7796000000.0,7866000000.0,-0.21243635541525804,5.42,4.44,3.68,2.63,,,,,35.16566265060241,31.24098124098124
XANO-B,0.019118692539791142,3151375000.0,3508706000.0,3431455000.0,3314731000.0,-0.33657488221934423,5.9,4.3,3.01,1.69,,,,,19.126506024096386,26.984126984126984
ARISE,0.5933379861445984,341000000.0,1164000000.0,503000000.0,470000000.0,3.494669942320017,1.51,18.6,4.65,4.26,,,,,87.04819277108435,95.23809523809523
ARP,0.04236741101975918,3412576000.0,4894276000.0,3549153000.0,3434693000.0,0.989204624881181,1.84,9.11,3.57,2.23,,,,,25.301204819277107,87.87878787878788
BEIA-B,0.16688630311783395,4579900000.0,5866000000.0,6882000000.0,7203000000.0,0.20178827404710264,9.43,15.92,8.61,11.85,,,,,58.28313253012048,65.65656565656566
RROS,0.07027385782750613,2320000000.0,3038000000.0,2757000000.0,2740000000.0,0.07474170221559236,1.111503,3.16351,0.675452,0.11115,,,,,31.475903614457827,52.09235209235209
VISC,,0.0,0.0,0.0,0.0,-0.3673400673400673,-0.2,-0.33,-0.36,-0.49,,,,,50.0,25.685425685425685
ACAD,0.09838976526451242,,14096000000.0,15268000000.0,17052000000.0,0.14140751957375855,,5.73,5.47,6.23,18675000000.0,8.29,,,39.60843373493976,59.16305916305916
ALLIGO-B,0.035860271684721015,8417000000.0,9211000000.0,9335000000.0,9333000000.0,2.381770967250038,8.5,80.44,9.76,5.47,,,,,23.94578313253012,93.79509379509379
BHG,-0.07225014186747797,12666000000.0,13433600000.0,11790200000.0,9962500000.0,-12.097054291300834,3.97,0.25,-8.73,-3.79,,,,,9.939759036144578,1.875901875901876
BONAV-A,-0.16175846209559067,14746000000.0,13987000000.0,13269000000.0,8194000000.0,-2.4342721759610035,4.285324,-1.602734,-12.47,-1.85,,,,,6.400602409638554,7.72005772005772
BONAV-B,-0.16175846209559067,14746000000.0,13987000000.0,13269000000.0,8194000000.0,-2.4342721759610035,4.285324,-1.602734,-12.47,-1.85,,,,,6.400602409638554,7.72005772005772
BOOZT,0.1243214261115317,5813800000.0,6743000000.0,7755000000.0,8244000000.0,0.24244400565913227,2.87,2.76,3.54,5.25,,,,,46.3855421686747,68.3982683982684
BMAX,-0.07637469654734537,7645000000.0,7260000000.0,6113000000.0,5986000000.0,0.06510007651725669,10.23,5.34,0.44,1.14,,,,,9.487951807228916,51.082251082251084
CLAS-B,0.09917562898823484,,8783700000.0,9024300000.0,10231900000.0,0.6317508174754028,,8.25,2.85,8.03,11626700000.0,13.91,,,39.75903614457831,84.4155844155844
G2M,0.18904853873026653,82574000.0,61858000.0,88621000.0,122773000.0,14.552284606305852,-0.000659,0.03,0.1,-0.42,,,,,65.21084337349397,99.27849927849928
KABE-B,0.055325998372549534,3266000000.0,3667000000.0,4084000000.0,3796000000.0,-0.024184918206724998,23.56,25.22,25.56,21.56,,,,,27.56024096385542,43.14574314574315
MEKO,0.1402279214598485,12552000000.0,14391000000.0,17278000000.0,18549000000.0,-0.08301865102148802,10.21,8.12,7.5,7.74,,,,,52.25903614457831,38.67243867243867
MTG-A,0.164397666842337,3931000000.0,5537000000.0,5829000000.0,6015000000.0,4.109452192676695,-3.85,56.26,1.33,-1.74,,,,,57.30421686746988,96.17604617604619
MTG-B,0.164397666842337,3931000000.0,5537000000.0,5829000000.0,6015000000.0,4.109452192676695,-3.85,56.26,1.33,-1.74,,,,,57.30421686746988,96.17604617604619
NOBI,-0.07570757445691483,13719000000.0,14929000000.0,11672000000.0,10538000000.0,-69.10294781051603,1.874474,-0.004474,-0.92,-2.46,,,,,9.63855421686747,0.8658008658008658
PRFO,0.005126564461096457,732000000.0,848000000.0,787000000.0,731000000.0,-0.05343207621036151,3.95,4.85,3.88,3.15,,,,,16.867469879518072,40.83694083694084
RVRC,0.13257797368918461,,1331000000.0,1560000000.0,1840000000.0,-0.2956984344125247,,2.55,2.15,2.73,1925000000.0,0.0,,,49.096385542168676,27.705627705627705
RUSTA,0.0762152605439419,,9490200000.0,10202000000.0,11116000000.0,0.047533969507003275,,4.053552,1.719449,2.7,11828000000.0,3.1,,,33.13253012048193,50.072150072150066
SHOT,0.34945432692706385,10086000000.0,19230000000.0,21935000000.0,21959000000.0,0.5278681373319197,-8.79,2.69,3.46,3.43,,,,,79.06626506024097,82.82828282828282
SKIS-B,0.20899674675966085,2750514000.0,4092252000.0,4281497000.0,4679385000.0,0.5203894987021921,3.04,8.5,5.28,6.04,,,,,67.31927710843374,82.3953823953824
SF,0.08211416804989406,5462000000.0,7058000000.0,6982000000.0,6737000000.0,-480.7590062111801,1.61,1.15,0.01,-14.4,,,,,35.69277108433735,0.2886002886002886
SYNSAM,0.1133774951176842,4728000000.0,5349000000.0,5984000000.0,6523000000.0,1.8610852841312147,0.34,2.19,2.08,2.48,,,,,43.22289156626506,91.91919191919192
VBG-B,0.16448592609027565,3611224000.0,4579978000.0,5739756000.0,5578859000.0,0.22466486614473824,13.48,14.73,22.88,23.52,,,,,57.53012048192772,67.82106782106783
VESTUM,0.913159465192725,1316000000.0,5162000000.0,4416000000.0,4246000000.0,3.548183443548073,0.026479,0.39,-1.0,-0.52,,,,,91.71686746987952,95.38239538239537
CINT,0.2170921550047978,138925000.0,295188000.0,266538000.0,166195000.0,-13.264407085425333,-0.031628,-1.312549,-1.660454,-0.047442,,,,,68.22289156626506,1.5873015873015872
DUST,0.16019478472388357,15028000000.0,23600900000.0,23577400000.0,21481800000.0,-0.4521236513702423,1.186053,1.310247,0.479651,0.082903,,,,,56.62650602409639,22.51082251082251
DYVOX,0.31497377334580534,871200000.0,1216300000.0,1613300000.0,1972100000.0,0.6965158834724052,0.3,0.46,0.99,1.39,,,,,77.40963855421687,85.28138528138528
ENEA,0.019474609850578046,871639000.0,951334000.0,934226000.0,920190000.0,-0.6941203101989945,9.3,10.43,-25.8,6.96,,,,,19.27710843373494,18.9033189033189
IAR-B,0.11144102779993788,355900000.0,419900000.0,458100000.0,487200000.0,-0.5063704847387913,-4.94,4.23,-16.84,10.2,,,,,42.77108433734939,21.5007215007215
KNOW,0.12091104513358049,4811839000.0,6833746000.0,7097441000.0,6415744000.0,-0.2626655845481007,12.26,14.05,8.74,3.88,,,,,45.48192771084337,29.292929292929294
LIME,0.1931217953186737,403848000.0,490350000.0,577116000.0,685743000.0,0.15224248874813195,4.42,5.11,6.28,6.73,,,,,65.66265060240963,59.59595959595959
NOTE,0.15500839889681658,2643393000.0,3687202000.0,4243351000.0,3900990000.0,0.1082401018596323,6.82,8.79,11.04,8.61,,,,,54.81927710843374,54.83405483405483
PRIC-B,0.14021145457168424,1765796000.0,2267787000.0,2681200000.0,2558000000.0,-23.548127625619255,0.63986,0.04,-2.9,8.1,,,,,52.108433734939766,1.2987012987012987
PACT,0.12399524874555652,3524953000.0,4756823000.0,4847315000.0,4864236000.0,0.27682166591308827,4.27,6.97,6.29,8.15,,,,,46.234939759036145,69.84126984126983
HTRO,0.35090692423564,3491600000.0,6574000000.0,8150000000.0,7581000000.0,0.48498610354040056,1.32,3.95,4.18,1.69,,,,,79.36746987951807,80.95238095238095
NETI-B,0.17077972899378113,380687000.0,475118000.0,559368000.0,608011000.0,2.122875816993464,-0.03,0.15,0.17,0.21,,,,,59.48795180722891,92.92929292929293
VPLAY-A,0.1394867435400979,12661000000.0,15691000000.0,18567000000.0,18490000000.0,-10.06510424790825,4.23,4.13,-124.61,0.03,,,,,51.581325301204814,2.236652236652237
VPLAY-B,0.1394867435400979,12661000000.0,15691000000.0,18567000000.0,18490000000.0,-10.06510424790825,4.23,4.13,-124.61,0.03,,,,,51.581325301204814,2.236652236652237
MSON-A,-0.00373058545741625,3773000000.0,3899000000.0,3793000000.0,3727000000.0,-1.0914099137078168,1.31,-6.73,-0.36,0.33,,,,,15.58734939759036,13.492063492063492
MSON-B,-0.00373058545741625,3773000000.0,3899000000.0,3793000000.0,3727000000.0,-1.0914099137078168,1.31,-6.73,-0.36,0.33,,,,,15.58734939759036,13.492063492063492
MAHA-A,0.39981928803196126,5732000.0,12327000.0,5226000.0,8492000.0,-0.6700083542188805,0.19,0.19,-0.21,-0.19,,,,,81.02409638554217,19.480519480519483
ACRI-A,0.15733192552926775,101955000.0,122435000.0,143345000.0,157728000.0,0.7209015087491503,3.554904,1.23,0.11,0.52,,,,,56.09939759036144,86.07503607503607
ACRI-B,0.15733192552926775,101955000.0,122435000.0,143345000.0,157728000.0,0.7209015087491503,3.554904,1.23,0.11,0.52,,,,,56.09939759036144,86.07503607503607
ANNE-B,0.12743628377230612,226900000.0,262600000.0,292100000.0,325000000.0,-0.20233430729330734,3.053333,3.51,-2.92,0.22,,,,,46.98795180722892,32.323232323232325
FASTAT,0.03863877935152784,365931000.0,597758000.0,479428000.0,326177000.0,-1.023956558801906,6.08,-4.13,-11.91,-6.06,,,,,24.84939759036145,14.71861471861472
K2A-B,0.17342377100662887,272700000.0,374700000.0,443600000.0,426900000.0,-2.640856965752363,8.1,1.08,-7.17,-2.99,,,,,61.06927710843374,7.215007215007215
K2A-PREF,0.17342377100662887,272700000.0,374700000.0,443600000.0,426900000.0,,,,,,,,,,61.06927710843374,50.0
HAV-B,0.8769463573810605,-5384000.0,12396000.0,14999000.0,1777000.0,-1.6448412698412695,0.28,-0.42,0.08,-0.21,,,,,91.41566265060241,9.523809523809524
MANG,-0.09675109884726744,362808000.0,129067000.0,169061000.0,176522000.0,-0.0365445756228013,246.7,-44.8,-22.186365,-9.602376,,,,,8.58433734939759,41.84704184704185
NAXS,-2.779605587841352,183804000.0,185978000.0,9605000.0,-61494000.0,-5.788909139911348,15.91,16.22,0.39,-6.01,,,,,0.30120481927710846,3.318903318903319
QLIRO,0.027487370654852284,449800000.0,470400000.0,442700000.0,485000000.0,-2.0995549578934587,-2.169289,-4.788071,0.214975,-1.104188,,,,,21.837349397590362,8.802308802308803
SEAF,0.3666754726222316,421300000.0,851000000.0,1000000000.0,905000000.0,-1.2694560321068453,-0.95,0.49,-1.72,-3.12,,,,,79.66867469879519,12.265512265512266
STWK,0.13939936512227002,584500000.0,764600000.0,818300000.0,850900000.0,-2.8479355310318812,-1.92,0.62,-5.89,-2.16,,,,,51.35542168674698,6.782106782106783
SFAB,0.06474573997119354,1039116000.0,1108342000.0,1212039000.0,1253317000.0,0.1750747213304519,6.0,5.54,8.67,8.99,,,,,29.668674698795183,62.04906204906205
ACTI,,0.0,0.0,0.0,0.0,-0.043263594708395386,-0.093315,-0.125632,-0.076761,-0.09,,,,,50.0,41.55844155844156
ATORX,0.7933056094677747,12943000.0,35696000.0,58107000.0,57767000.0,0.29139816177918837,-80.963501,-74.404432,-46.50277,-27.056157,,,,,90.21084337349397,72.005772005772
ACE,,0.0,0.0,0.0,0.0,0.10466420989271723,-2.642642,-2.608053,-3.24,-1.48,,,,,50.0,54.689754689754686
BOUL,0.06759361980802059,463344000.0,548088000.0,571329000.0,558463000.0,-4.339153339996668,0.87,0.46,0.64,-7.64,,,,,30.271084337349397,4.329004329004329
CRAD-B,0.2225093525745172,261152000.0,301326000.0,424615000.0,469004000.0,1.2201669201669203,0.74,0.22,1.05,1.67,,,,,68.82530120481928,89.75468975468975
